Date,Date,Open,High,Low,Close,SMA,WMA,MOMENTUM,K,D,RSI,MACD,R,ADX,CCI,MACDsignal,MACDhist
2000/1/3,2000/1/3,1.614,1.6395,1.614,1.6368,,,,,,,,,,,,
2000/1/4,2000/1/4,1.6358,1.641,1.631,1.6365,,,,,,,,,,,,
2000/1/5,2000/1/5,1.635,1.6447,1.6349,1.6415,,,,,,,,,,,,
2000/1/6,2000/1/6,1.6417,1.6508,1.6408,1.6463,,,,,,,,,,,,
2000/1/7,2000/1/7,1.6465,1.6496,1.6358,1.6383,,,,,,,,,,,,
2000/1/10,2000/1/10,1.6385,1.6392,1.6322,1.6365,,,,,,,,,,,,
2000/1/11,2000/1/11,1.6365,1.6494,1.6355,1.648,,,,,,,,,,,,
2000/1/12,2000/1/12,1.6464,1.651,1.6448,1.6474,,,,,,,,,,,,
2000/1/13,2000/1/13,1.6464,1.6498,1.6406,1.6462,,,,,,,,,,,,
2000/1/14,2000/1/14,1.6476,1.6476,1.6325,1.6336,1.64111,1.6417636363636363,,,,,,-47.027027027027344,,-39.55823293172523,,
2000/1/17,2000/1/17,1.6346,1.6386,1.6292,1.6328,1.64071,1.6402527272727272,-0.0040000000000000036,,,45.708154506437744,,-83.48623853210991,,-119.78231292516894,,
2000/1/18,2000/1/18,1.6331,1.6386,1.6312,1.6365,1.64071,1.6394872727272725,0.0,,,50.10955302366349,,-66.51376146788958,,-86.01978080727191,,
2000/1/19,2000/1/19,1.6373,1.645,1.6358,1.6436,1.64092,1.640012727272727,0.0020999999999999908,38.68501529051996,32.84398159627523,57.462221853204866,,-33.944954128440635,,8.977236293685733,,
2000/1/20,2000/1/20,1.6446,1.6569,1.6414,1.6541,1.6416999999999997,1.6424090909090905,0.007799999999999807,63.14432705152395,40.943114114014655,65.75520253108147,,-10.108303249097943,,137.07210487982638,,
2000/1/21,2000/1/21,1.654,1.6578,1.6475,1.6489,1.6427599999999998,1.6437181818181816,0.010599999999999943,74.94262050119353,58.92398761441248,59.384590561732196,,-31.118881118880843,,108.09294871794718,,
2000/1/24,2000/1/24,1.6463,1.6555,1.6456,1.651,1.64421,1.6452163636363635,0.014499999999999957,78.33219728526592,72.13971494599447,61.076721211720184,,-23.77622377622352,,83.61942128494208,,
2000/1/25,2000/1/25,1.6524,1.6536,1.6428,1.644,1.6438099999999998,1.6451781818181817,-0.0040000000000000036,65.61771561771575,72.96417780139173,52.912128507703414,,-48.251748251748445,,31.575212866603348,,
2000/1/26,2000/1/26,1.645,1.6467,1.6352,1.638,1.6428699999999998,1.644121818181818,-0.009400000000000075,52.913752913752866,65.62122193891152,46.93654123097086,,-69.23076923076947,,-39.656518345045676,,
2000/1/27,2000/1/27,1.6388,1.6403,1.6336,1.6385,1.6421,1.643327272727273,-0.00770000000000004,38.34498834498833,52.292152292152316,47.48567655435274,,-67.48251748251714,,-57.37519765078183,,
2000/1/28,2000/1/28,1.639,1.639,1.6158,1.6186,1.6405999999999998,1.639054545454546,-0.014999999999999902,23.31779331779347,38.192178192178226,32.5770851622228,,-93.33333333333302,17.75199905781208,-158.71661134819033,,
