Date,Date,Open,High,Low,Close,SMA,WMA,MOMENTUM,K,D,RSI,MACD,R,ADX,CCI,MACDsignal,MACDhist
2001/1/2,2001/1/2,32.92,33.07,32.85,32.9,,,,,,,,,,,,
2001/1/3,2001/1/3,32.955,33.042,32.9,32.9,,,,,,,,,,,,
2001/1/4,2001/1/4,32.98,32.98,32.87,32.9,,,,,,,,,,,,
2001/1/5,2001/1/5,32.9,32.99,32.8,32.876,,,,,,,,,,,,
2001/1/8,2001/1/8,32.835,32.835,32.65,32.675,,,,,,,,,,,,
2001/1/9,2001/1/9,32.72,32.72,32.55,32.58,,,,,,,,,,,,
2001/1/10,2001/1/10,32.63,32.66,32.55,32.55,,,,,,,,,,,,
2001/1/11,2001/1/11,32.62,32.65,32.52,32.57,,,,,,,,,,,,
2001/1/12,2001/1/12,32.57,32.699,32.57,32.57,,,,,,,,,,,,
2001/1/15,2001/1/15,32.67,32.725,32.57,32.57,32.70909999999999,32.636345454545456,,,,,,-90.90909090909138,,-56.17249676105916,,
2001/1/16,2001/1/16,32.65,32.686,32.5,32.57,32.6761,32.61105454545455,-0.3299999999999983,,,5.405405405406184,,-87.08487084870848,,-63.45581620649198,,
2001/1/17,2001/1/17,32.63,32.65,32.57,32.57,32.6431,32.59176363636364,-0.3299999999999983,,,5.405405405406185,,-85.71428571428572,,-49.80742296919003,,
2001/1/18,2001/1/18,32.58,32.615,32.55,32.57,32.6101,32.57847272727273,-0.3299999999999983,16.48898365316277,13.396899003349347,5.405405405406185,,-85.71428571428572,,-60.743274971497065,,
2001/1/19,2001/1/19,32.618,32.618,32.49,32.56,32.578500000000005,32.56936363636364,-0.3159999999999954,21.65615690544247,16.953932700949608,5.21216887713231,,-79.71014492753608,,-110.14557338085129,,
2001/1/22,2001/1/22,32.56,32.563,32.5,32.54,32.565000000000005,32.562363636363635,-0.134999999999998,23.9864507250976,20.71053042790095,4.8285784726803165,,-78.7234042553203,,-174.1821396993716,,
2001/1/23,2001/1/23,32.5,32.56,32.5,32.55,32.562000000000005,32.55963636363636,-0.030000000000001137,25.531914893616033,23.724840841385372,8.566929307062104,,-74.46808510638496,,-127.72397094428736,,
2001/1/24,2001/1/24,32.5,32.55,32.5,32.5,32.557,32.54836363636363,-0.04999999999999716,17.021276595743352,22.17988073815233,7.032314802099715,,-95.74468085106466,,-127.95549374130985,,
2001/1/25,2001/1/25,32.57,32.57,32.5,32.525,32.5525,32.54254545454545,-0.045000000000001705,14.893617021275182,19.148936170211524,15.446872393532937,,-85.10638297872481,,-73.75738616613805,,
2001/1/26,2001/1/26,32.525,32.55,32.5,32.525,32.548,32.537545454545445,-0.045000000000001705,12.33535967578394,14.75008443093416,15.446872393532937,,-85.10638297872481,,-74.31425163982868,,
2001/1/29,2001/1/29,32.5,32.57,32.46,32.495,32.5405,32.527909090909084,-0.07500000000000284,17.057270836664618,14.762082511241251,13.620502917020119,,-84.51327433628464,72.53650413901737,-99.86190229586789,,
2001/1/30,2001/1/30,32.46,32.46,32.07,32.07,32.490500000000004,32.44236363636363,-0.5,12.092731829572893,13.828454114007153,4.760557385103424,-0.09815819296456851,-100.0,74.10111238771572,-333.2973050871949,-0.075699886681506,-0.022458306283062515
2001/1/31,2001/1/31,32.35,32.361,32.27,32.27,32.4605,32.402272727272724,-0.29999999999999716,18.305800998847094,15.818601221694871,28.932331723249614,-0.09924401259110738,-63.503649635036105,75.50925981154424,-130.0860434592336,-0.07998063684688807,-0.01926337574421931
2001/2/1,2001/2/1,32.31,32.378,32.27,32.29,32.432500000000005,32.37127272727272,-0.28000000000000114,26.83211678832123,19.076883205580412,30.8814744503703,-0.09290054038336137,-59.85401459854049,76.18363168447993,-85.55657773688748,-0.08232971021715595,-0.010570830166205428
2001/2/2,2001/2/2,32.33,32.33,32.2,32.2,32.3965,32.32899999999999,-0.35999999999999943,35.498783454988065,26.878900414052136,27.15731392748854,-0.09685116529589521,-73.99999999999949,77.0141761642031,-94.36000991957783,-0.08496997477692672,-0.011881190518968493
2001/2/5,2001/2/5,32.29,32.361,32.2,32.23,32.365500000000004,32.29872727272726,-0.3100000000000023,33.99999999999987,32.11030008110306,30.27172216410244,-0.0910256675926675,-68.00000000000068,76.68462346200178,-66.83782627299612,-0.08607100983433413,-0.0049546577583333695
2001/2/6,2001/2/6,32.26,32.265,32.17,32.17,32.3275,32.26318181818181,-0.37999999999999545,26.000000000000043,31.832927818329335,27.64511306741647,-0.0914157220536751,-79.99999999999972,76.54325976993469,-82.59587020648462,-0.08704277569239613,-0.004372946361278968
2001/2/7,2001/2/7,32.21,32.29,32.17,32.17,32.294500000000006,32.23454545454545,-0.3299999999999983,23.999999999999968,27.999999999999968,27.645113067416467,-0.0876331957585208,-79.99999999999972,75.5071671241943,-69.25154320987399,-0.08715012479532788,-0.0004830709631929164
